Ortet,Index,Rank,EBV_dbh,acc_dbh,EBV_brh,acc_brh,EBV_str,acc_str,EBV_den,acc_den,EBV_pme,acc_pme,EBV_dothi,acc_dothi,Female,Male
3190420,1205,3822,15.03434608,0.730688716,1.147310829,0.80850603,0.528506739,0.775587519,2.716599366,0.808292645,-0.17595887,0.800542316,-1.118918567,0.808399035,2004040,2004041
268248,1204,3823,-0.932207763,0.986926036,0.313639992,0.988101715,0.610200772,0.98471011,18.94923888,0.983687959,1.172474971,0.984071136,0.307824624,0.983085958,NA,NA
315351,1204,3824,21.10496813,0.775624909,1.054854013,0.797142396,0.695405178,0.823389944,-10.57466609,0.833100834,-0.249367403,0.858502184,NA,NA,2004002,2003224
397343,1204,3825,-12.20006823,0.81273858,1.373763318,0.855156711,0.909003103,0.79686197,16.48542941,0.89545575,1.420979566,0.838083528,NA,NA,268058,875284
313279,1203,3826,26.50467805,0.852163717,1.072218909,0.889159716,0.573214194,0.8716014,3.723201868,0.939648338,-0.947520561,0.916548962,-12.12683152,0.881782286,2003150,2004035
3181390,1203,3827,23.55311245,0.77186333,0.130468077,0.819232568,0.707708355,0.774628298,15.54739093,0.834786799,-0.348299579,0.721639106,-14.1829076,0.789231905,2003326,2003380
3182364,1203,3828,9.340058166,0.77983011,0.12065518,0.834675985,0.506986417,0.784512588,21.56120272,0.831039109,0.493446927,0.703639823,4.586097653,0.782044116,2006185,2006182
313367,1202,3829,12.1188039,0.869752838,0.81005452,0.904257707,0.371175022,0.886007901,-4.128556417,0.944309271,0.331091851,0.923664441,-12.31630567,0.896240481,2004003,2003259
314666,1202,3830,21.14902018,0.780823283,1.248304821,0.799736207,0.928986493,0.756895633,-12.27219358,0.838449164,-0.287950033,0.778571769,6.406592242,0.878835024,2004022,2003101
315285,1202,3831,19.89629391,0.811070281,1.101397491,0.853800914,0.702226596,0.857786687,0.547499878,0.858931313,-0.410328689,0.85521167,-3.617286353,0.806852527,2004046,2003372
315410,1202,3832,22.68080083,0.782436579,1.02910877,0.812142229,0.391514254,0.862478406,-4.885685538,0.835950955,-0.529359422,0.872068805,NA,NA,2004010,2003047
397436,1202,3833,4.775933408,0.816618638,1.535755085,0.863463375,0.781389619,0.811213289,-3.214938825,0.899992222,0.473991994,0.852192467,NA,NA,875051,268117
313036,1201,3834,14.19312623,0.82214354,0.435565379,0.859638878,0.044768932,0.819723734,12.07946671,0.909276636,0.027225731,0.882327604,-2.257414171,0.847431413,2004074,2003098
397021,1201,3835,8.14134528,0.765009804,0.932886629,0.813087941,0.836437167,0.755226456,-2.592680498,0.857054257,0.614057268,0.792175486,NA,NA,268065,875954
313201,1200,3836,0.754232829,0.824050969,1.293790137,0.867485447,0.55600966,0.820982947,8.279220243,0.921413045,0.629013017,0.889343578,3.236624559,0.87603767,2003163,NA
315018,1200,3837,15.19307274,0.76479409,0.890000114,0.781850369,0.608258873,0.83800179,4.941746938,0.80118662,-0.056773226,0.848131476,NA,NA,2003150,2004032
3190328,1200,3838,14.38636104,0.734217951,0.971275419,0.80938804,0.719343086,0.777879168,-5.781664934,0.804580015,0.182676352,0.801046191,-1.322272892,0.80856787,2003363,2003379
306436,1199,3839,3.08127196,0.762675554,0.435583147,0.796640446,0.331509803,0.782105492,10.61515669,0.810224043,0.903397954,0.805109309,NA,NA,885373,268228
315420,1199,3840,21.37480529,0.800121866,0.487439343,0.848940516,0.311419072,0.879026166,-6.718974228,0.85336276,-0.085349265,0.892891931,NA,NA,2004010,2003018
317884,1199,3841,14.06294386,0.787388722,1.179830578,0.843186812,0.991613223,0.806771343,3.391491775,0.848833906,-0.039147446,0.749780635,-0.301676723,0.830165646,2004045,2003303
