Tree,Fcln,Mcln
2006207,885313,885405
885145,.,.
870557,.,.
883064,870557,.
2006208,885145,883064
885429,.,.
2006209,885429,883064
885054,.,.
2006210,885054,.
885370,.,.
2006211,885370,.
885226,.,.
885009,.,.
2006212,885226,885009
885194,.,.
885022,.,.
2006213,885194,885022
885289,.,.
2006214,885289,.
2006215,885054,.
885042,.,.
887802,.,.
2006216,885042,887802
885346,.,.
885351,.,.
2006217,885346,885351
885439,.,.
2006218,885429,885439
885361,.,.
885167,.,.
2006219,885361,885167
885396,.,.
885394,.,.
2006220,885396,885394
2006221,883064,.
2006222,885395,.
885257,.,.
885095,.,.
2006223,885257,885095
885015,.,.
2006224,885015,.
885303,.,.
2006225,885303,.
885424,.,.
2006226,885424,885042
885193,.,.
880776,268604,.
2006227,885193,880776
885068,.,.
2006228,885068,885198
885021,.,.
885039,.,.
2006229,885021,885039
885001,.,.
2006230,885001,887726
885140,.,.
885371,.,.
2006231,885140,885371
870608,.,.
883047,870608,.
2006232,883047,.
885078,.,.
885227,.,.
2006233,885078,885227
885447,.,.
2006234,885447,.
2006235,887915,.
885364,.,.
2006236,885364,.
2006237,885264,.
2006238,885406,.
2006239,885324,.
885286,.,.
885012,.,.
2006240,885286,885012
885107,.,.
2006241,885107,875076
885280,.,.
2006242,885280,.
2006243,883022,.
2006244,885200,885283
885104,.,.
2006245,885104,.
885391,.,.
2006246,885391,880662
885220,.,.
2006247,885220,885025
885410,.,.
2006248,885410,875076
2006249,885048,.
885132,.,.
885148,.,.
2006250,885132,885148
885151,.,.
2006251,885151,.
2006252,885396,885394
2006253,883073,871099
885147,.,.
2006254,885147,885028
885090,.,.
2006255,885090,.
885360,.,.
2006256,885145,885360
885212,.,.
2006257,885212,.
885136,.,.
885244,.,.
2006258,885136,885244
887797,.,.
2006259,885140,887797
2006260,885346,.
870508,.,.
883061,870508,.
885214,.,.
2006261,883061,885214
885109,.,.
885017,.,.
2006262,885109,885017
2006263,885391,.
2006264,885236,885283
2006265,885283,.
870586,.,.
870553,.,.
883004,870586,870553
2006266,883004,.
870613,.,.
883043,870613,.
2006267,883043,.
2006268,885212,.
2006269,885280,.
885449,.,.
885330,.,.
2006270,885449,885330
2006271,.,.
2006272,885104,.
885072,.,.
2006273,885072,268239
885438,.,.
2006274,885438,.
2006275,885135,.
2006276,885042,.
2006277,885286,.
2006705,.,.
2007016,875293,268609
894068,.,.
2007019,894068,.
894040,.,.
2007020,894040,.
894070,.,.
2007021,894070,.
894067,.,.
2007022,894067,.
894041,.,.
887875,.,.
