Ortet,Index,Rank,EBV_dbh,acc_dbh,EBV_brh,acc_brh,EBV_str,acc_str,EBV_den,acc_den,EBV_pme,acc_pme,EBV_dothi,acc_dothi,Female,Male
317708,2918,45,18.04625694,0.797700445,1.277969701,0.868552819,0.332509252,0.823108134,25.62474759,0.869357809,1.209605667,0.747265013,-4.382593605,0.79471001,2004020,2003098
268005,2911,46,31.06672613,0.98421898,0.610991447,0.990325199,0.134903863,0.9822011,-9.497988143,0.980654373,1.335997718,0.977358174,-3.914598623,0.957263287,NA,NA
2003318,2906,47,26.96895526,0.965584279,2.205100204,0.969112997,1.081997844,0.965070464,13.78443028,0.976975435,0.394476836,0.973780776,-6.853135246,0.960296829,268494,288102
397156,2897,48,11.99863581,0.773795839,1.108291907,0.830391474,0.63004689,0.812712741,4.70248963,0.882483994,2.191705507,0.821842442,NA,NA,850101,NA
397224,2896,49,27.39260413,0.816366952,1.232182565,0.846867168,1.112250792,0.819233788,10.70784922,0.890956228,1.027282669,0.826197313,NA,NA,880655,268532
313233,2893,50,33.17517008,0.882060089,1.571724953,0.913205891,0.395720841,0.897666976,-9.298137655,0.949376638,0.621908639,0.930049461,-14.16020269,0.904898889,2003232,2003221
313492,2893,51,17.82712231,0.880532793,1.162761838,0.906699509,0.345542216,0.887175293,8.626326882,0.945834552,1.598084372,0.924352747,-2.425563253,0.899709953,2003164,2003363
313486,2890,52,34.27206898,0.857694001,1.109102181,0.900469322,0.645858209,0.877350557,-24.75208369,0.946182858,1.1892231,0.922814174,-9.673406312,0.887328012,2003221,NA
313248,2880,53,32.37304548,0.878699607,0.848261671,0.908576909,0.660264616,0.886999436,11.71470813,0.948177726,0.770356745,0.92857956,-8.924861069,0.905823382,2003327,2004018
399174,2880,54,7.244891519,0.820794128,0.888578862,0.833112237,0.720489446,0.837281315,7.424370024,0.885721175,2.610284486,0.831832315,2.512045463,0.887210234,880618,875054
3181205,2880,55,34.06482273,0.744468938,1.170361994,0.805502948,0.880689517,0.757780311,-4.052845713,0.818150964,0.80738433,0.725412986,-10.00578286,0.766520058,2003178,2003179
313142,2865,56,23.09936706,0.876069061,1.764278188,0.905866988,0.544428843,0.887872739,7.442468228,0.947291402,0.885471104,0.928058727,-5.04352424,0.908467941,2004070,2003164
313714,2850,57,32.44395025,0.871377071,1.505892056,0.901465474,0.736859544,0.884452373,23.59129867,0.945521549,0.102638159,0.924503651,-2.183970165,0.882502691,2004011,2003318
399178,2849,58,31.65226774,0.82256246,0.455417409,0.832972989,0.013752483,0.83587858,-12.15357978,0.88751,1.335733,0.835317305,-0.380456198,0.841848561,268315,880655
313713,2833,59,27.30601881,0.865182062,1.27584624,0.903479385,0.743557066,0.88571553,2.646330091,0.945303126,0.995091442,0.923212327,-2.971078798,0.893830521,2004011,2003318
3181202,2833,60,32.80963803,0.745089927,1.023094196,0.805660599,0.833366989,0.757281982,-3.339467826,0.820343221,0.903421736,0.726669801,-10.1816443,0.769670709,2003178,2003179
2003163,2830,61,16.3380977,0.967786133,1.953495173,0.971698513,0.67584264,0.966335863,14.25791876,0.978396648,1.09769909,0.973568693,2.010496629,0.961961018,850533,886954
306338,2829,62,29.81713824,0.751535761,1.583764539,0.782577792,0.873025699,0.765031372,3.988939015,0.798584372,0.625130497,0.776957528,NA,NA,887841,268005
399166,2827,63,20.09426522,0.818617127,1.899619556,0.826414545,1.21951285,0.830257189,-2.535877696,0.885319716,1.318082042,0.834792789,-0.115141853,0.775601702,880618,875054
314012,2826,64,19.53378098,0.837081239,1.133509592,0.842906282,0.481474527,0.800996879,27.53815548,0.890186497,1.076823876,0.845509314,-9.160117113,0.887488591,2004020,2003163
885346,2817,65,1.821818269,0.866994233,1.692109585,0.914781941,0.19693468,0.883179483,23.89013645,0.788035532,1.966521614,0.755561381,-1.867480074,0.481899367,NA,NA
3181195,2817,66,29.65939854,0.745676874,1.163440888,0.803871258,0.679310467,0.754796661,4.056783094,0.81864339,0.837115554,0.727079088,-7.973965454,0.768509597,2003178,2003179
2003181,2814,67,32.33662829,0.965775854,1.156573294,0.969485946,0.575423268,0.963888998,3.565118399,0.978367518,0.634001528,0.974896918,-14.99140194,0.963849573,875242,288401
314233,2812,68,24.84941469,0.834053955,1.203357667,0.847545869,0.447182114,0.808660003,22.7900927,0.876400023,0.725327974,0.83483711,-16.40276049,0.894432222,2003400,2004078
397187,2808,69,18.57314457,0.801444321,1.63167991,0.831104687,-0.042708981,0.780191002,20.47751187,0.856628274,0.822909963,0.793147527,NA,NA,875242,875076
399506,2799,70,18.30535416,0.818634839,0.535061917,0.82471874,0.305635849,0.828830501,3.042997262,0.88272929,1.936761621,0.836076552,1.329940894,0.775846634,880740,268315
397504,2786,71,19.24234698,0.812367528,1.290808314,0.863121081,0.111633386,0.812335522,16.12001476,0.898800312,1.082166436,0.85190199,NA,NA,880740,880662
399491,2785,72,22.6715808,0.732312775,0.969689008,0.762791584,0.348600753,0.769839594,-2.943935636,0.859066936,1.46690753,0.770182446,-1.174579649,0.59000339,NA,NA
314603,2783,73,25.73837494,0.812571228,0.862600049,0.826289901,0.406322196,0.786940913,5.866683093,0.870661243,1.157814858,0.800204349,-5.981353441,0.892548038,2004008,2003047
